'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
0.099428,0.099421,0.95029,0.5285,0.939282,0.279371,3
0.217409,0.158016,0.926173,0.482382,0.918437,0.232775,4
0.193421,0.15863,0.923826,0.354726,0.978093,0.125891,3
0.073331,0.068109,0.966432,0.482091,0.966528,0.232441,1
0.090139,0.090133,0.954934,0.417623,0.981765,0.174432,1
0.093168,0.092835,0.953615,0.569095,0.950261,0.323894,1
0.12058,0.118832,0.940741,0.353028,0.980057,0.124655,1
0.161955,0.154959,0.923186,0.400375,0.972595,0.160334,1
0.103991,0.103931,0.94804,0.522196,0.967389,0.272719,5
0.275179,0.246404,0.87962,0.283782,0.974081,0.08061,1
0.160908,0.158625,0.920915,0.457126,0.964996,0.208995,5
0.395946,0.294307,0.862787,0.290089,0.968266,0.084219,1
0.111462,0.110664,0.944744,0.445042,0.969807,0.198088,1
1.038948,0.505579,0.791117,0.215561,0.95117,0.046514,1
0.215379,0.178044,0.914666,0.406246,0.946633,0.165132,1
0.139091,0.138804,0.930627,0.334454,0.979477,0.111927,4
0.641955,0.403207,0.819518,0.323422,0.886145,0.104671,1
0.515468,0.379972,0.822625,0.262915,0.945225,0.069169,3
0.159012,0.157194,0.921583,0.33207,0.979674,0.110306,1
0.636123,0.439987,0.798808,0.254623,0.935762,0.064971,1
0.393827,0.330877,0.840714,0.248647,0.968534,0.061916,1
0.117673,0.115058,0.942731,0.530693,0.93306,0.281704,1
0.555212,0.416299,0.805496,0.304125,0.880141,0.092718,1
0.275388,0.242072,0.882239,0.40275,0.944458,0.162354,1
0.422333,0.321881,0.84788,0.271288,0.947576,0.073707,2
0.219012,0.213685,0.89369,0.421567,0.905583,0.177969,3
0.188272,0.186307,0.907043,0.385833,0.956707,0.148958,1
0.19599,0.192937,0.903837,0.347545,0.980249,0.120834,5
0.307286,0.252168,0.879373,0.300908,0.966995,0.090624,1
1.260802,0.624391,0.743757,0.250181,0.861921,0.062713,3
0.353111,0.28371,0.864686,0.390946,0.918536,0.152995,1
0.16953,0.166865,0.916834,0.443345,0.955598,0.196597,1
0.142986,0.125673,0.938859,0.569271,0.885073,0.32414,1
0.694399,0.39269,0.831163,0.331956,0.874183,0.110283,5
0.323337,0.250534,0.881673,0.241369,0.984778,0.0583,1
0.265925,0.222417,0.893056,0.426781,0.91107,0.1822,2
0.140009,0.137684,0.931391,0.317979,0.986551,0.101126,1
0.246997,0.225814,0.889154,0.369091,0.947333,0.136288,1
0.715732,0.476007,0.785165,0.267772,0.898841,0.071928,5
0.098447,0.097734,0.951205,0.533674,0.96931,0.284837,5
0.118914,0.112888,0.944127,0.442361,0.953819,0.195706,3
0.187716,0.181111,0.910101,0.448315,0.947883,0.201055,1
0.256104,0.240214,0.881463,0.350505,0.93976,0.122956,2
0.140281,0.138419,0.930976,0.476521,0.95022,0.227138,1
0.099785,0.098316,0.950987,0.3864,0.979448,0.149318,2
0.181039,0.169237,0.916546,0.493339,0.908022,0.243491,3
0.226214,0.185414,0.911241,0.582257,0.782668,0.339104,1
0.22972,0.211961,0.895773,0.271817,0.982122,0.073966,3
0.761768,0.531728,0.756269,0.23922,0.904998,0.057399,3
0.212053,0.201196,0.900477,0.471802,0.886895,0.222744,3
0.114162,0.106231,0.947649,0.486199,0.952483,0.236443,1
0.140822,0.14071,0.929656,0.31379,0.991789,0.098484,1
0.207213,0.203396,0.89868,0.469229,0.876599,0.220281,1
0.353174,0.271235,0.872359,0.350173,0.938764,0.12272,1
0.163404,0.162188,0.919028,0.49748,0.930561,0.247661,5
0.141961,0.14148,0.929308,0.443404,0.950851,0.196655,1
0.412969,0.309348,0.85493,0.285281,0.961009,0.081504,1
0.166261,0.145974,0.928947,0.342,0.983971,0.116996,1
0.102614,0.102587,0.948709,0.432444,0.964875,0.18705,2
0.159067,0.158206,0.920983,0.374322,0.965728,0.14021,1
0.270434,0.204185,0.904134,0.351679,0.973452,0.123706,5
0.160624,0.15136,0.925234,0.435308,0.947201,0.18956,1
0.112266,0.111751,0.944176,0.403027,0.970271,0.162462,1
0.960502,0.580354,0.745656,0.227997,0.918476,0.052107,1
0.401649,0.307509,0.854954,0.278113,0.963691,0.077477,1
0.159642,0.15254,0.924432,0.340943,0.973953,0.116305,3
0.227547,0.203929,0.900336,0.35501,0.95161,0.126115,1
0.453745,0.301291,0.863426,0.335066,0.921174,0.11243,1
0.205619,0.177617,0.913878,0.400015,0.958851,0.16007,1
0.275947,0.25055,0.877232,0.286228,0.972897,0.082019,1
0.147912,0.143763,0.928518,0.431393,0.963905,0.186166,1
0.170661,0.165247,0.9179,0.270842,0.989224,0.073386,3
0.241898,0.219109,0.892708,0.39507,0.957633,0.156188,1
0.121676,0.120719,0.939736,0.386528,0.977966,0.14943,1
0.359788,0.302651,0.854041,0.314891,0.930108,0.099374,2
0.295315,0.253809,0.877116,0.386814,0.935166,0.149895,4
0.262889,0.25388,0.87396,0.34467,0.935758,0.118997,3
0.174373,0.157595,0.92286,0.406912,0.953531,0.165628,1
0.120582,0.120401,0.939818,0.438752,0.968769,0.192544,2
0.156081,0.150023,0.925588,0.341115,0.974924,0.11639,2
